draw_id,date,num1,num2,num3,num4,num5
341,2006/2/7,2,5,17,18,26
342,2006/2/14,2,15,24,25,27
343,2006/2/21,6,10,15,27,30
344,2006/2/28,4,9,13,21,23
345,2006/3/7,7,14,16,17,29
346,2006/3/14,4,14,18,26,31
347,2006/3/21,10,11,20,23,27
348,2006/3/28,8,9,11,12,18
349,2006/4/4,3,5,6,7,12
350,2006/4/11,3,9,22,24,28
351,2006/4/18,3,6,11,12,27
352,2006/4/25,5,7,14,17,30
353,2006/5/2,3,13,14,17,25
354,2006/5/9,3,6,17,19,30
355,2006/5/16,8,9,24,27,29
356,2006/5/23,6,11,17,19,22
357,2006/5/30,15,24,26,28,29
358,2006/6/6,4,13,18,27,31
359,2006/6/13,3,11,15,18,19
360,2006/6/20,6,11,20,27,28
361,2006/6/27,2,4,6,12,30
362,2006/7/4,4,17,19,20,31
363,2006/7/11,4,10,12,17,22
364,2006/7/18,5,9,13,20,23
365,2006/7/25,6,10,18,27,28
366,2006/8/1,2,11,14,19,30
367,2006/8/8,4,6,14,19,31
368,2006/8/15,1,8,17,28,29
369,2006/8/22,4,10,23,29,30
370,2006/8/29,10,12,16,26,28
371,2006/9/5,10,12,19,23,31
372,2006/9/12,1,5,22,25,30
373,2006/9/19,3,5,11,12,29
374,2006/9/26,9,17,27,28,29
375,2006/10/3,1,10,20,23,24
376,2006/10/10,7,13,21,25,28
377,2006/10/17,1,12,20,21,30
378,2006/10/24,6,8,15,21,24
379,2006/10/31,2,8,15,19,28
380,2006/11/7,2,11,12,17,31
381,2006/11/14,3,9,19,22,23
382,2006/11/21,7,9,11,14,23
383,2006/11/28,4,7,9,17,31
384,2006/12/5,4,9,15,25,29
385,2006/12/12,6,14,20,24,27
386,2006/12/19,1,3,5,7,23
387,2006/12/26,16,26,28,29,30
388,2007/1/9,4,8,19,27,31
389,2007/1/16,8,11,13,27,30
390,2007/1/23,11,14,23,29,30
391,2007/1/30,1,10,15,30,31
392,2007/2/6,3,13,15,25,30
393,2007/2/13,15,17,18,22,30
394,2007/2/20,2,5,21,27,31
395,2007/2/27,6,21,22,23,31
396,2007/3/6,1,6,21,25,28
397,2007/3/13,1,14,17,24,25
398,2007/3/20,10,17,25,27,31
399,2007/3/27,7,13,23,27,31
400,2007/4/3,12,20,22,24,25
401,2007/4/10,11,13,18,26,30
402,2007/4/17,10,20,22,24,27
403,2007/4/24,2,5,16,30,31
404,2007/5/1,1,8,11,26,28
405,2007/5/8,8,9,13,27,31
406,2007/5/15,5,13,19,28,29
407,2007/5/22,5,15,21,22,31
408,2007/5/29,7,12,22,26,30
409,2007/6/5,2,11,19,27,28
410,2007/6/12,3,10,19,20,31
411,2007/6/19,5,8,12,19,22
412,2007/6/26,1,5,6,9,23
413,2007/7/3,8,14,21,23,29
414,2007/7/10,5,7,10,20,27
415,2007/7/17,11,16,24,28,30
416,2007/7/24,4,6,13,15,22
417,2007/7/31,3,9,12,23,24
418,2007/8/7,13,16,22,27,30
419,2007/8/14,5,12,19,20,27
420,2007/8/21,2,10,13,23,27
421,2007/8/28,11,14,24,28,29
422,2007/9/4,10,12,15,21,27
423,2007/9/11,8,14,16,24,31
424,2007/9/18,3,4,8,11,31
425,2007/9/25,4,10,20,25,28
426,2007/10/2,3,15,17,21,26
427,2007/10/9,9,14,19,20,26
428,2007/10/16,11,20,24,27,29
429,2007/10/23,11,18,22,26,30
430,2007/10/30,3,7,16,18,21
431,2007/11/6,3,12,14,24,25
432,2007/11/13,3,9,14,22,25
433,2007/11/20,1,12,17,20,27
434,2007/11/27,1,6,10,11,22
435,2007/12/4,8,19,22,25,27
436,2007/12/11,7,8,18,21,24
437,2007/12/18,9,13,15,28,31
438,2007/12/25,1,2,10,13,21
439,2008/1/8,10,17,19,21,23
440,2008/1/15,5,12,13,21,30
441,2008/1/22,6,8,19,28,30
442,2008/1/29,5,8,19,24,30
443,2008/2/5,5,17,22,23,30
